Date,City,PM25,O3,NO2,SO2,CO
2022-04-02,Toronto-North,8,30,10,1,2
2022-04-03,Toronto-North,31,30,5, ,2
2022-04-04,Toronto-North,26,30,12,1,2
2022-04-05,Toronto-North,35,32,6,1,1
2022-04-06,Toronto-North,33,34,4, ,2
2022-04-07,Toronto-North,29,28,8,1,2
2022-04-08,Toronto-North,30,22,10, ,2
2022-04-09,Toronto-North,28,23,8, ,2
2022-04-10,Toronto-North,36,28,3, ,1
2022-04-11,Toronto-North,8,27,11, ,2
2022-04-12,Toronto-North,25,34,10,1,2
2022-04-13,Toronto-North,31,26,10,1,2
2022-04-14,Toronto-North,36,30,5, ,2
2022-04-15,Toronto-North,32,33,4,1,1
2022-04-16,Toronto-North,25,24,2,1,1
2022-04-17,Toronto-North,18,23,3, ,1
2022-04-18,Toronto-North,16,23,5, ,1
2022-04-19,Toronto-North,18,21,6, ,1
2022-04-20,Toronto-North,30,25,4,1,1
2022-04-21,Toronto-North,20,30,5, ,1
2022-04-22,Toronto-North,21,26,7,1,1
2022-04-23,Toronto-North,32,31,11,1,2
2022-04-24,Toronto-North,30,36,3, ,1
2022-04-25,Toronto-North,35,20,11,1,2
2022-04-26,Toronto-North,33,19,6, ,2
2022-04-27,Toronto-North,20,18,3, ,1
2022-04-28,Toronto-North,10,33,6, ,1
2022-04-29,Toronto-North,19,35,5, ,1
2022-04-30,Toronto-North,25,32,5, ,1
2022-05-01,Toronto-North,30,31,5, ,1
2022-05-02,Toronto-North,17,16,9, ,2
2022-05-03,Toronto-North,43,24,10, ,2
2022-05-04,Toronto-North,52,22,4, ,2
2022-05-05,Toronto-North,16,29,8,1,2
2022-05-06,Toronto-North,21,29,9,1,2
2022-05-07,Toronto-North,27,35,1, ,1
2022-05-08,Toronto-North,23,34,6,1,2
2022-05-09,Toronto-North,29,36,9,1,2
2022-05-10,Toronto-North,30,42,5, ,2
2022-05-11,Toronto-North,31,36,12,1,2
2022-05-12,Toronto-North,38,38,5, ,3
2022-05-13,Toronto-North,40,34,9,4,3
2022-05-14,Toronto-North,31,30,7,1,3
2022-05-15,Toronto-North,33,45,5,1,2
2022-05-16,Toronto-North,26,30,3, ,2
2022-05-17,Toronto-North,22,17,2, ,2
2022-05-18,Toronto-North,14,28,5,1,1
2022-05-19,Toronto-North,23,33,8, ,2
2022-05-20,Toronto-North,32,35,5,1,2
2022-05-21,Toronto-North,39,32,4, ,2
2022-05-22,Toronto-North,42,20,2, ,2
2022-05-23,Toronto-North,21,25,2, ,1
2022-05-24,Toronto-North,31,24,6, ,1
2022-05-25,Toronto-North,34,32,5,1,1
2022-05-26,Toronto-North,18,27,5,1,1
2022-05-27,Toronto-North,25,27,5,1,1
2022-05-28,Toronto-North,27,29,1, ,2
2022-05-29,Toronto-North,18,38,3,1,1
2022-05-30,Toronto-North,25,48,7,2,2
2022-05-31,Toronto-North,42,47,8,1,2
2022-06-01,Toronto-North,47,26,8, ,2
2022-06-02,Toronto-North,40,25,5, ,1
2022-06-03,Toronto-North,20,35,6,1,1
2022-06-04,Toronto-North,19,31,2, ,1
2022-06-05,Toronto-North,19,40,8,1,2
2022-06-06,Toronto-North,31,31,7, ,2
2022-06-07,Toronto-North,27,26,3, ,2
2022-06-08,Toronto-North,27,28,4, ,1
2022-06-09,Toronto-North,19,27,2, ,1
2022-06-10,Toronto-North,20,27,3, ,1
2022-06-11,Toronto-North,15,34,6,1,2
2022-06-12,Toronto-North,25,32,3, ,2
2022-06-13,Toronto-North,32,28,5, ,1
2022-06-14,Toronto-North,22,27,4,2,2
2022-06-15,Toronto-North,24,30,6, ,2
2022-06-16,Toronto-North,21,41,8,1,2
2022-06-17,Toronto-North,49,28,4, ,1
2022-06-18,Toronto-North,26,25,1, , 
2022-06-19,Toronto-North,17,33,4, ,1
2022-06-20,Toronto-North,18,39,6,4,1
2022-06-21,Toronto-North,21,62,7,2,2
2022-06-22,Toronto-North,45,53,8, ,3
2022-06-23,Toronto-North,57,23,1, ,1
2022-06-24,Toronto-North,16,47,6,1,1
2022-06-25,Toronto-North,24,49,6,1,2
2022-06-26,Toronto-North,38,46,5,2,2
2022-06-27,Toronto-North,46,23,2, ,1
2022-06-28,Toronto-North,22,32,4,1,1
2022-06-29,Toronto-North,21,35,8,1,2
2022-06-30,Toronto-North,26,46,6,1,2
2022-07-01,Toronto-North,31,51,6,1,2
2022-01-04,Toronto-North,12,17,18, ,2
2022-01-05,Toronto-North,52,15,11, ,1
2022-01-06,Toronto-North,35,14,11, ,2
2022-01-07,Toronto-North,42,20,10, ,2
2022-01-08,Toronto-North,33,23,12, ,2
2022-01-09,Toronto-North,15,26,5, ,2
2022-01-10,Toronto-North,30,25,5, ,1
2022-01-11,Toronto-North,12,21,10, ,2
2022-01-12,Toronto-North,30,16,12, ,2
2022-01-13,Toronto-North,44,19,17, ,3
2022-01-14,Toronto-North,40,23,3, ,2
2022-01-15,Toronto-North,7,19,6, ,2
2022-01-16,Toronto-North,23,25,14, ,3
2022-01-17,Toronto-North,21,24,7, ,2
2022-01-18,Toronto-North,13,23,11, ,2
