Burlington, (44008) Hourly, Ground-level Ozone (O3) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air Intake Height,5 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Ozone,2022-07-08,16,11,11,11,11,13,11,12,15,14,17,30,37,42,47,50,48,47,28,25,21,20,21,22,
44008,Ozone,2022-07-09,21,20,18,16,15,15,15,17,20,24,27,28,21,22,22,24,27,30,30,29,24,15,10,7,
44008,Ozone,2022-07-10,18,19,17,17,16,16,16,18,15,23,35,42,44,41,38,36,37,36,30,31,25,11,21,21,
44008,Ozone,2022-07-11,21,21,20,9999,19,20,23,23,26,33,47,55,54,57,58,57,61,63,62,63,59,46,43,40,
44008,Ozone,2022-07-12,39,44,46,39,36,31,31,34,37,37,36,36,36,35,37,39,36,32,33,34,32,27,26,26,
44008,Ozone,2022-07-13,23,21,19,15,13,6,11,16,21,26,27,34,32,31,29,34,39,36,30,30,25,7,5,15,
44008,Ozone,2022-07-14,6,9,2,4,1,3,6,14,18,19,24,33,35,35,43,48,50,51,48,37,24,32,21,21,
44008,Ozone,2022-07-15,21,18,12,5,7,4,6,11,15,19,25,31,36,41,45,45,41,43,32,31,31,32,29,28,
44008,Ozone,2022-07-16,27,21,10,17,9,11,11,19,29,32,36,44,50,56,63,58,56,58,52,51,51,43,21,18,
44008,Ozone,2022-07-17,13,13,21,28,20,22,27,18,23,35,48,54,54,54,54,55,55,53,52,52,50,46,41,36,
