Date,City,PM25,O3,NO2,SO2,CO
2022-12-18,Toronto-North,36.00,16.00,8.00,,1.00
2022-12-19,Toronto-North,38.00,19.00,9.00,2.00, 
2022-12-20,Toronto-North,28.00,15.00,13.00,,1.00
2022-12-21,Toronto-North,31.00,18.00,19.00,1.00,2.00
2022-12-22,Toronto-North,46.00,19.00,10.00,,2.00
2022-12-23,Toronto-North,36.00,21.00,5.00,2.00,1.00
2022-12-24,Toronto-North,9.00,22.00,5.00,, 
2022-12-25,Toronto-North,12.00,24.00,5.00,1.00,1.00
2022-12-26,Toronto-North,16.00,20.00,9.00,2.00,1.00
2022-12-27,Toronto-North,38.00,20.00,12.00,1.00,2.00
2022-12-28,Toronto-North,44.00,17.00,13.00,, 
2022-12-29,Toronto-North,52.00,20.00,15.00,, 
2022-12-30,Toronto-North,40.00,16.00,18.00,,1.00
2022-12-31,Toronto-North,35.00,16.00,12.00,2.00,2.00
2023-01-01,Toronto-North,30.00,17.00,9.00,, 
2023-01-02,Toronto-North,54.00,20.00,9.00,1.00,4.00
2022-07-02,Toronto-North,50.00,33.00,2.00,,1.00
2022-07-03,Toronto-North,29.00,25.00,1.00,,2.00
2022-07-04,Toronto-North,15.00,38.00,8.00,,
2022-07-05,Toronto-North,24.00,35.00,6.00,1.00,2.00
2022-07-06,Toronto-North,29.00,23.00,3.00,1.00,1.00
2022-07-07,Toronto-North,14.00,34.00,4.00,,1.00
2022-07-08,Toronto-North,20.00,18.00,7.00,2.00,2.00
2022-07-09,Toronto-North,24.00,25.00,4.00,,1.00
2022-07-10,Toronto-North,31.00,27.00,4.00,1.00,
2022-07-11,Toronto-North,33.00,50.00,10.00,2.00,2.00
2022-07-12,Toronto-North,34.00,34.00,4.00,,1.00
2022-07-13,Toronto-North,21.00,26.00,5.00,,2.00
2022-07-14,Toronto-North,22.00,27.00,3.00,3.00,
2022-07-15,Toronto-North,17.00,40.00,8.00,,1.00
2022-07-16,Toronto-North,27.00,46.00,5.00,1.00,2.00
2022-07-17,Toronto-North,40.00,46.00,6.00,,2.00
2022-07-18,Toronto-North,38.00,31.00,3.00,,1.00
2022-07-19,Toronto-North,10.00,36.00,7.00,1.00,
2022-07-20,Toronto-North,36.00,44.00,6.00,1.00,2.00
2022-07-21,Toronto-North,36.00,30.00,4.00,,1.00
2022-07-22,Toronto-North,36.00,41.00,7.00,2.00,2.00
2022-07-23,Toronto-North,39.00,45.00,6.00,1.00,1.00
2022-07-24,Toronto-North,26.00,39.00,4.00,1.00,
2022-07-25,Toronto-North,21.00,24.00,3.00,,1.00
2022-07-26,Toronto-North,16.00,29.00,6.00,2.00,1.00
2022-07-27,Toronto-North,15.00,40.00,7.00,1.00,2.00
2022-07-28,Toronto-North,33.00,32.00,8.00,1.00,
2022-07-29,Toronto-North,38.00,23.00,5.00,,1.00
2022-07-30,Toronto-North,15.00,19.00,2.00,4.00,1.00
2022-07-31,Toronto-North,7.00,31.00,5.00,,2.00
2022-08-01,Toronto-North,27.00,37.00,7.00,,1.00
2022-08-02,Toronto-North,36.00,22.00,2.00,,2.00
2022-08-03,Toronto-North,20.00,36.00,6.00,2.00,2.00
2022-08-04,Toronto-North,22.00,27.00,9.00,,2.00
2022-08-05,Toronto-North,21.00,36.00,3.00,1.00,
2022-08-06,Toronto-North,22.00,37.00,7.00,1.00,2.00
2022-08-07,Toronto-North,22.00,36.00,4.00,,1.00
2022-08-08,Toronto-North,37.00,30.00,6.00,1.00,2.00
2022-08-09,Toronto-North,26.00,18.00,2.00,1.00,1.00
2022-08-10,Toronto-North,6.00,42.00,5.00,,
2022-08-11,Toronto-North,26.00,19.00,3.00,,1.00
2022-08-12,Toronto-North,15.00,27.00,4.00,3.00,1.00
2022-08-13,Toronto-North,14.00,42.00,6.00,,
2022-08-14,Toronto-North,25.00,35.00,5.00,,1.00
2022-08-15,Toronto-North,28.00,31.00,5.00,,2.00
2022-08-16,Toronto-North,21.00,31.00,4.00,2.00,
2022-08-17,Toronto-North,25.00,24.00,7.00,,2.00
2022-08-18,Toronto-North,20.00,29.00,7.00,,
2022-08-19,Toronto-North,23.00,32.00,11.00,3.00,2.00
2022-08-20,Toronto-North,35.00,45.00,8.00,,4.00
2022-08-21,Toronto-North,45.00,36.00,3.00,1.00,2.00
2022-08-22,Toronto-North,27.00,26.00,3.00,1.00,2.00
2022-08-23,Toronto-North,15.00,22.00,3.00,2.00,
2022-08-24,Toronto-North,24.00,22.00,6.00,1.00,2.00
2022-08-25,Toronto-North,24.00,15.00,5.00,1.00,1.00
2022-08-26,Toronto-North,31.00,21.00,4.00,,2.00
2022-08-27,Toronto-North,26.00,25.00,2.00,1.00,1.00
2022-08-28,Toronto-North,14.00,29.00,4.00,2.00,3.00
2022-08-29,Toronto-North,18.00,32.00,5.00,1.00,1.00
2022-08-30,Toronto-North,27.00,25.00,7.00,1.00,
